plyr_id,name,position,team
13266,alex-carrington,LDE,buf
12660,jarron-gilbert,LDE,buf
13992,marcell-dareus,NT,buf
13638,jay-ross,NT,buf
9720,kyle-williams,RDE,buf
10477,alan-branch,RDE,buf
9608,manny-lawson,LOLB,buf
15344,marcus-dowtin,LOLB,buf
15819,kiko-alonso,LILB,buf
13422,arthur-moats,LILB,buf
15075,nigel-bradham,RILB,buf
4513,bryan-scott,RILB,buf
9587,mario-williams,ROLB,buf
13245,jerry-hughes,ROLB,buf
14942,stephon-gilmore,CB,buf
15008,ron-brooks,CB,buf
14045,aaron-williams,SS,buf
15956,jonathan-meeks,SS,buf
12613,jairus-byrd,FS,buf
14143,da'norris-searcy,FS,buf
11245,leodis-mckelvin,CB,buf
14071,justin-rogers,CB,buf
13985,muhammad-wilkerson,LDE,nyj
15704,tevita-finau,LDE,nyj
14057,kenrick-ellis,NT,nyj
15380,damon-harrison,NT,nyj
15811,sheldon-richardson,RDE,nyj
4653,antonio-garay,RDE,nyj
14934,quinton-coples,LOLB,nyj
10577,antwan-barnes,LOLB,nyj
14958,demario-davis,LILB,nyj
13165,josh-mauga,LILB,nyj
10491,david-harris,RILB,nyj
14471,nick-bellore,RILB,nyj
4476,calvin-pace,ROLB,nyj
12105,garrett-mcintyre,ROLB,nyj
9605,antonio-cromartie,CB,nyj
14510,darrin-walls,CB,nyj
9732,dawan-landry,SS,nyj
15113,josh-bush,SS,nyj
15061,antonio-allen,FS,nyj
14043,jaiquawn-jarrett,FS,nyj
15804,dee-milliner,CB,nyj
13237,kyle-wilson,CB,nyj
12435,tyson-jackson,LDE,kc
14020,allen-bailey,LDE,kc
14939,dontari-poe,NT,kc
10763,mike-devito,RDE,kc
11792,anthony-toribio,RDE,kc
14048,justin-houston,LOLB,kc
13779,frank-zombo,LOLB,kc
10883,akeem-jordan,LILB,kc
15982,nico-johnson,LILB,kc
8430,derrick-johnson,RILB,kc
9606,tamba-hali,ROLB,kc
11269,brandon-flowers,CB,kc
13252,eric-berry,SS,kc
11351,quintin-demps,SS,kc
13404,kendrick-lewis,FS,kc
11910,husain-abdullah,FS,kc
12430,sean-smith,CB,kc
5535,dunta-robinson,CB,kc
14953,kendall-reyes,LDE,sd
12752,jarius-wynn,LDE,sd
13470,cam-thomas,NT,sd
16067,kwame-geathers,NT,sd
13989,corey-liuget,RDE,sd
14348,damik-scafe,RDE,sd
4567,jarret-johnson,LOLB,sd
12434,larry-english,LOLB,sd
13265,donald-butler,LILB,sd
14141,andrew-gachkar,LILB,sd
15867,manti-te'o,RILB,sd
14325,bront-bird,RILB,sd
3539,dwight-freeney,ROLB,sd
16000,tourek-williams,ROLB,sd
14010,shareece-wright,CB,sd
14011,johnny-patrick,CB,sd
14018,marcus-gilchrist,SS,sd
13465,darrell-stuckey,SS,sd
10481,eric-weddle,FS,sd
15574,sean-cattouse,FS,sd
12646,derek-cox,CB,sd
15883,steve-williams,CB,sd
8546,chris-canty,LDE,bal
8435,marcus-spears,LDE,bal
9598,haloti-ngata,NT,bal
13267,terrence-cody,NT,bal
13394,arthur-jones,RDE,bal
