game_id,coach_id,team,is_home,year
290910023,63,pit,1,2009
290910023,12,ten,0,2009
290913001,67,atl,1,2009
290913001,65,mia,0,2009
290913004,18,cin,1,2009
290913004,73,den,0,2009
290913005,54,cle,1,2009
290913005,86,min,0,2009
290913009,58,gb,1,2009
290913009,38,chi,0,2009
290913011,76,ind,1,2009
290913011,5,jac,0,2009
290913018,42,no,1,2009
290913018,71,det,0,2009
290913019,35,nyg,1,2009
290913019,25,wsh,0,2009
290913022,59,ari,1,2009
290913022,70,sf,0,2009
290913026,83,sea,1,2009
290913026,50,stl,0,2009
290913027,75,tb,1,2009
290913027,85,dal,0,2009
290913029,13,car,1,2009
290913029,23,phi,0,2009
290913033,68,bal,1,2009
290913033,77,kc,0,2009
290913034,56,hou,1,2009
290913034,72,nyj,0,2009
290914013,69,oak,1,2009
290914013,44,sd,0,2009
290914017,2,ne,1,2009
290914017,80,buf,0,2009
290920001,67,atl,1,2009
290920001,13,car,0,2009
290920002,80,buf,1,2009
290920002,75,tb,0,2009
290920003,38,chi,1,2009
290920003,63,pit,0,2009
290920006,85,dal,1,2009
290920006,35,nyg,0,2009
290920007,73,den,1,2009
290920007,54,cle,0,2009
290920008,71,det,1,2009
290920008,86,min,0,2009
290920009,58,gb,1,2009
290920009,18,cin,0,2009
290920010,12,ten,1,2009
290920010,56,hou,0,2009
290920012,77,kc,1,2009
290920012,69,oak,0,2009
290920020,72,nyj,1,2009
290920020,2,ne,0,2009
290920021,23,phi,1,2009
290920021,42,no,0,2009
290920024,44,sd,1,2009
290920024,68,bal,0,2009
290920025,70,sf,1,2009
290920025,83,sea,0,2009
290920028,25,wsh,1,2009
290920028,50,stl,0,2009
290920030,5,jac,1,2009
290920030,59,ari,0,2009
290921015,65,mia,1,2009
290921015,76,ind,0,2009
290927002,80,buf,1,2009
290927002,42,no,0,2009
290927004,18,cin,1,2009
290927004,63,pit,0,2009
290927008,71,det,1,2009
290927008,25,wsh,0,2009
290927013,69,oak,1,2009
290927013,73,den,0,2009
290927014,50,stl,1,2009
290927014,58,gb,0,2009
290927016,86,min,1,2009
290927016,70,sf,0,2009
290927017,2,ne,1,2009
290927017,67,atl,0,2009
290927020,72,nyj,1,2009
290927020,12,ten,0,2009
290927021,23,phi,1,2009
290927021,77,kc,0,2009
290927022,59,ari,1,2009
290927022,76,ind,0,2009
290927024,44,sd,1,2009
290927024,65,mia,0,2009
290927026,83,sea,1,2009
290927026,38,chi,0,2009
290927027,75,tb,1,2009
290927027,35,nyg,0,2009
290927033,68,bal,1,2009
290927033,54,cle,0,2009
290927034,56,hou,1,2009
290927034,5,jac,0,2009
290928006,85,dal,1,2009
290928006,13,car,0,2009
291004003,38,chi,1,2009
291004003,71,det,0,2009
291004005,54,cle,1,2009
291004005,18,cin,0,2009
291004007,73,den,1,2009
291004007,85,dal,0,2009
291004011,76,ind,1,2009
291004011,83,sea,0,2009
291004012,77,kc,1,2009
291004012,35,nyg,0,2009
291004015,65,mia,1,2009
291004015,80,buf,0,2009
291004017,2,ne,1,2009
291004017,68,bal,0,2009
291004018,42,no,1,2009
291004018,72,nyj,0,2009
291004023,63,pit,1,2009
291004023,44,sd,0,2009
291004025,70,sf,1,2009
291004025,50,stl,0,2009
291004028,25,wsh,1,2009
291004028,75,tb,0,2009
291004030,5,jac,1,2009
291004030,12,ten,0,2009
291004034,56,hou,1,2009
291004034,69,oak,0,2009
291005016,86,min,1,2009
291005016,58,gb,0,2009
291011002,80,buf,1,2009
291011002,54,cle,0,2009
291011007,73,den,1,2009
291011007,2,ne,0,2009
291011008,71,det,1,2009
291011008,63,pit,0,2009
291011010,12,ten,1,2009
291011010,76,ind,0,2009
291011012,77,kc,1,2009
291011012,85,dal,0,2009
291011014,50,stl,1,2009
291011014,86,min,0,2009
291011019,35,nyg,1,2009
291011019,69,oak,0,2009
291011021,23,phi,1,2009
291011021,75,tb,0,2009
291011022,59,ari,1,2009
291011022,56,hou,0,2009
291011025,70,sf,1,2009
291011025,67,atl,0,2009
291011026,83,sea,1,2009
291011026,5,jac,0,2009
291011029,13,car,1,2009
291011029,25,wsh,0,2009
291011033,68,bal,1,2009
291011033,18,cin,0,2009
291012015,65,mia,1,2009
291012015,72,nyj,0,2009
291018001,67,atl,1,2009
291018001,38,chi,0,2009
291018004,18,cin,1,2009
291018004,56,hou,0,2009
291018009,58,gb,1,2009
291018009,71,det,0,2009
291018013,69,oak,1,2009
291018013,23,phi,0,2009
291018016,86,min,1,2009
291018016,68,bal,0,2009
291018017,2,ne,1,2009
291018017,12,ten,0,2009
291018018,42,no,1,2009
291018018,35,nyg,0,2009
291018020,72,nyj,1,2009
291018020,80,buf,0,2009
291018023,63,pit,1,2009
291018023,54,cle,0,2009
291018026,83,sea,1,2009
291018026,59,ari,0,2009
291018027,75,tb,1,2009
291018027,13,car,0,2009
291018028,25,wsh,1,2009
291018028,77,kc,0,2009
291018030,5,jac,1,2009
291018030,50,stl,0,2009
291019024,44,sd,1,2009
291019024,73,den,0,2009
291025004,18,cin,1,2009
291025004,38,chi,0,2009
291025005,54,cle,1,2009
291025005,58,gb,0,2009
291025006,85,dal,1,2009
291025006,67,atl,0,2009
291025012,77,kc,1,2009
291025012,44,sd,0,2009
291025013,69,oak,1,2009
291025013,72,nyj,0,2009
291025014,50,stl,1,2009
291025014,76,ind,0,2009
291025015,65,mia,1,2009
291025015,42,no,0,2009
291025019,35,nyg,1,2009
291025019,59,ari,0,2009
291025023,63,pit,1,2009
291025023,86,min,0,2009
291025027,75,tb,1,2009
291025027,2,ne,0,2009
291025029,13,car,1,2009
291025029,80,buf,0,2009
291025034,56,hou,1,2009
291025034,70,sf,0,2009
291026028,25,wsh,1,2009
291026028,23,phi,0,2009
291101002,80,buf,1,2009
291101002,56,hou,0,2009
291101003,38,chi,1,2009
291101003,54,cle,0,2009
291101006,85,dal,1,2009
291101006,83,sea,0,2009
291101008,71,det,1,2009
291101008,50,stl,0,2009
291101009,58,gb,1,2009
291101009,86,min,0,2009
291101010,12,ten,1,2009
291101010,5,jac,0,2009
291101011,76,ind,1,2009
291101011,70,sf,0,2009
291101020,72,nyj,1,2009
291101020,65,mia,0,2009
291101021,23,phi,1,2009
291101021,35,nyg,0,2009
291101022,59,ari,1,2009
291101022,13,car,0,2009
291101024,44,sd,1,2009
291101024,69,oak,0,2009
291101033,68,bal,1,2009
291101033,73,den,0,2009
291102018,42,no,1,2009
291102018,67,atl,0,2009
291108001,67,atl,1,2009
291108001,25,wsh,0,2009
291108003,38,chi,1,2009
291108003,59,ari,0,2009
291108004,18,cin,1,2009
291108004,68,bal,0,2009
291108011,76,ind,1,2009
291108011,56,hou,0,2009
291108017,2,ne,1,2009
291108017,65,mia,0,2009
291108018,42,no,1,2009
291108018,13,car,0,2009
291108019,35,nyg,1,2009
291108019,44,sd,0,2009
291108021,23,phi,1,2009
291108021,85,dal,0,2009
291108025,70,sf,1,2009
291108025,12,ten,0,2009
291108026,83,sea,1,2009
291108026,71,det,0,2009
291108027,75,tb,1,2009
291108027,58,gb,0,2009
291108030,5,jac,1,2009
291108030,77,kc,0,2009
291109007,73,den,1,2009
291109007,63,pit,0,2009
291112025,70,sf,1,2009
291112025,38,chi,0,2009
291115009,58,gb,1,2009
291115009,85,dal,0,2009
291115010,12,ten,1,2009
291115010,80,buf,0,2009
291115011,76,ind,1,2009
291115011,2,ne,0,2009
291115013,69,oak,1,2009
291115013,77,kc,0,2009
291115014,50,stl,1,2009
291115014,42,no,0,2009
291115015,65,mia,1,2009
291115015,75,tb,0,2009
291115016,86,min,1,2009
291115016,71,det,0,2009
291115020,72,nyj,1,2009
291115020,5,jac,0,2009
291115022,59,ari,1,2009
291115022,83,sea,0,2009
291115023,63,pit,1,2009
