plyr_id,proj_pts,week
13994,21,1
2330,19,1
2549,18,1
2580,18,1
8439,18,1
12483,18,1
1428,17,1
5209,17,1
9588,17,1
10447,17,1
10452,17,1
11237,17,1
13203,17,1
14881,17,1
14884,17,1
11289,16,1
12514,16,1
13982,16,1
14001,16,1
14874,16,1
14885,16,1
14887,16,1
5526,15,1
5528,15,1
5536,15,1
8475,15,1
9705,15,1
10456,15,1
11122,15,1
13983,15,1
14028,15,1
14875,15,1
15009,15,1
4461,14,1
5529,14,1
11258,14,1
13215,14,1
13232,14,1
14012,14,1
14886,14,1
2578,13,1
2622,13,1
5549,13,1
8479,13,1
8544,13,1
11283,13,1
11307,13,1
11674,13,1
12497,13,1
13216,13,1
13553,13,1
13934,13,1
14017,13,1
14053,13,1
15111,13,1
15848,13,1
9592,12,1
9704,12,1
10488,12,1
10693,12,1
11270,12,1
11543,12,1
12601,12,1
14032,12,1
14184,12,1
4459,11,1
5615,11,1
9354,11,1
10467,11,1
11257,11,1
11439,11,1
11754,11,1
12586,11,1
13217,11,1
13295,11,1
13587,11,1
14027,11,1
14322,11,1
14816,11,1
14851,11,1
14878,11,1
15058,11,1
15091,11,1
15683,11,1
15786,11,1
15823,11,1
15826,11,1
1231,10,1
2148,10,1
5662,10,1
9597,10,1
9646,10,1
11252,10,1
12473,10,1
13197,10,1
13966,10,1
13969,10,1
13981,10,1
14876,10,1
60027,10,1
1716,9,1
4333,9,1
4680,9,1
5362,9,1
8416,9,1
10636,9,1
11923,9,1
14054,9,1
60004,9,1
60005,9,1
60011,9,1
60023,9,1
60034,9,1
1440,8,1
2489,8,1
9329,8,1
10544,8,1
10621,8,1
11278,8,1
11688,8,1
12460,8,1
13987,8,1
14005,8,1
14123,8,1
14898,8,1
14993,8,1
15803,8,1
60017,8,1
5941,7,1
8442,7,1
11238,7,1
11458,7,1
12731,7,1
12898,7,1
14024,7,1
15864,7,1
60003,7,1
60007,7,1
60012,7,1
1097,6,1
4512,6,1
9613,6,1
9838,6,1
10475,6,1
13204,6,1
14908,6,1
14924,6,1
60008,6,1
60010,6,1
60020,6,1
60022,6,1
60026,6,1
60030,6,1
2548,5,1
4527,5,1
9235,5,1
9638,5,1
12516,5,1
13271,5,1
13489,5,1
14151,5,1
14909,5,1
15078,5,1
16381,5,1
16418,5,1
60014,5,1
60015,5,1
60016,5,1
60019,5,1
60028,5,1
60029,5,1
6016,4,1
9400,4,1
9684,4,1
10147,4,1
10605,4,1
10713,4,1
11282,4,1
11325,4,1
11678,4,1
12556,4,1
12570,4,1
12576,4,1
13210,4,1
13226,4,1
14189,4,1
14193,4,1
15880,4,1
16026,4,1
60006,4,1
60009,4,1
60025,4,1
2564,3,1
4529,3,1
5531,3,1
8461,3,1
9361,3,1
9611,3,1
9647,3,1
9695,3,1
10195,3,1
10517,3,1
10522,3,1
11788,3,1
12537,3,1
12549,3,1
12568,3,1
12705,3,1
13228,3,1
13272,3,1
14056,3,1
14129,3,1
14153,3,1
14159,3,1
14891,3,1
14894,3,1
14911,3,1
14912,3,1
15092,3,1
16013,3,1
16055,3,1
60013,3,1
60018,3,1
60024,3,1
1858,2,1
4482,2,1
9307,2,1
10482,2,1
11267,2,1
11280,2,1
11295,2,1
11373,2,1
11408,2,1
12500,2,1
12567,2,1
12588,2,1
12649,2,1
13225,2,1
13363,2,1
13536,2,1
14087,2,1
14105,2,1
14186,2,1
14204,2,1
14221,2,1
14895,2,1
14900,2,1
14910,2,1
14914,2,1
14922,2,1
15043,2,1
15062,2,1
15072,2,1
15391,2,1
15788,2,1
15795,2,1
15818,2,1
15835,2,1
15873,2,1
15878,2,1
15918,2,1
16016,2,1
9639,1,1
9761,1,1
10453,1,1
10487,1,1
10572,1,1
11256,1,1
11318,1,1
11658,1,1
11717,1,1
12489,1,1
12503,1,1
12535,1,1
12585,1,1
12730,1,1
13207,1,1
13211,1,1
13214,1,1
13219,1,1
13357,1,1
13371,1,1
13555,1,1
13616,1,1
14021,1,1
14035,1,1
14055,1,1
14099,1,1
14100,1,1
14145,1,1
14433,1,1
14570,1,1
14901,1,1
14916,1,1
14918,1,1
14920,1,1
14921,1,1
14947,1,1
15067,1,1
15448,1,1
15501,1,1
15807,1,1
15822,1,1
15836,1,1
15847,1,1
15853,1,1
15896,1,1
15923,1,1
15925,1,1
15980,1,1
15981,1,1
16022,1,1
16496,1,1
139,0,1
286,0,1
445,0,1
1056,0,1
1170,0,1
1328,0,1
1383,0,1
2580,23,2
8439,22,2
14001,20,2
2330,19,2
10452,18,2
