count,game_id,plyr_id,name
1,290913004,8207,marcus-thomas
2,290920007,8207,marcus-thomas
3,290927013,8207,marcus-thomas
4,291004007,8207,marcus-thomas
5,291011007,8207,marcus-thomas
6,291019024,8207,marcus-thomas
7,291101033,8207,marcus-thomas
8,291109007,8207,marcus-thomas
9,291115028,8207,marcus-thomas
10,291122007,8207,marcus-thomas
11,291126007,8207,marcus-thomas
12,291206012,8207,marcus-thomas
13,291213011,8207,marcus-thomas
14,291220007,8207,marcus-thomas
15,291227021,8207,marcus-thomas
16,300103007,8207,marcus-thomas
17,300912030,8207,marcus-thomas
18,300919007,8207,marcus-thomas
19,300926007,8207,marcus-thomas
20,301003010,8207,marcus-thomas
21,301010033,8207,marcus-thomas
22,301017007,8207,marcus-thomas
23,301024007,8207,marcus-thomas
24,301031025,8207,marcus-thomas
25,301114007,8207,marcus-thomas
26,301122024,8207,marcus-thomas
27,301128007,8207,marcus-thomas
28,301205012,8207,marcus-thomas
29,301212022,8207,marcus-thomas
30,301219013,8207,marcus-thomas
31,301226007,8207,marcus-thomas
32,310102007,8207,marcus-thomas
33,311009007,8207,marcus-thomas
34,311023015,8207,marcus-thomas
35,311030007,8207,marcus-thomas
36,311106013,8207,marcus-thomas
37,311113012,8207,marcus-thomas
38,311117007,8207,marcus-thomas
39,311127024,8207,marcus-thomas
40,311204016,8207,marcus-thomas
41,311211007,8207,marcus-thomas
42,311218007,8207,marcus-thomas
43,311224002,8207,marcus-thomas
44,320101007,8207,marcus-thomas
45,320108007,8207,marcus-thomas
46,320114017,8207,marcus-thomas
47,330908002,16418,zach-sudfeld
48,330922017,16418,zach-sudfeld
49,330905007,16419,brynden-trawick
50,330915033,16419,brynden-trawick
51,330908002,16421,joe-vellano
52,330912017,16421,joe-vellano
53,290913018,43,john-carney
54,290920021,43,john-carney
55,290927002,43,john-carney
56,291004018,43,john-carney
57,291018018,43,john-carney
58,291025015,43,john-carney
59,291102018,43,john-carney
60,291108018,43,john-carney
61,291115014,43,john-carney
62,291122027,43,john-carney
63,291130018,43,john-carney
64,301003018,43,john-carney
65,301010022,43,john-carney
66,330908005,16436,eric-martin
67,330915033,16436,eric-martin
68,330908029,16443,melvin-white
69,330922029,16443,melvin-white
70,330908030,16449,laroy-reynolds
71,330915013,16449,laroy-reynolds
72,330908014,16463,ray-ray-armstrong
73,330915001,16463,ray-ray-armstrong
74,330908006,16473,jeff-heath
75,330915012,16473,jeff-heath
76,330908005,16478,brandon-magee
77,330915033,16478,brandon-magee
78,290913005,112,brett-favre
79,290920008,112,brett-favre
80,290927016,112,brett-favre
81,291005016,112,brett-favre
82,291011014,112,brett-favre
83,291018016,112,brett-favre
84,291025023,112,brett-favre
85,291101009,112,brett-favre
86,291115016,112,brett-favre
87,291122016,112,brett-favre
88,291129016,112,brett-favre
89,291206022,112,brett-favre
90,291213016,112,brett-favre
91,291220029,112,brett-favre
92,291228003,112,brett-favre
93,300103016,112,brett-favre
94,300117016,112,brett-favre
95,300124018,112,brett-favre
96,300909018,112,brett-favre
97,300919016,112,brett-favre
98,300926016,112,brett-favre
99,301011020,112,brett-favre
100,301017016,112,brett-favre
101,301024009,112,brett-favre
102,301031017,112,brett-favre
103,301107016,112,brett-favre
104,301114003,112,brett-favre
105,301121016,112,brett-favre
106,301128028,112,brett-favre
107,301205016,112,brett-favre
108,301220016,112,brett-favre
109,291101020,8460,matt-roth
110,291108017,8460,matt-roth
111,291115015,8460,matt-roth
112,291119029,8460,matt-roth
113,291129004,8460,matt-roth
114,291206005,8460,matt-roth
115,291210005,8460,matt-roth
116,291220012,8460,matt-roth
117,291227005,8460,matt-roth
118,300103005,8460,matt-roth
119,300912027,8460,matt-roth
120,300919005,8460,matt-roth
121,300926033,8460,matt-roth
122,301003005,8460,matt-roth
123,301010005,8460,matt-roth
124,301017023,8460,matt-roth
125,301024018,8460,matt-roth
126,301107005,8460,matt-roth
127,301114005,8460,matt-roth
128,301121030,8460,matt-roth
129,301128005,8460,matt-roth
130,301205015,8460,matt-roth
131,301212002,8460,matt-roth
132,301219004,8460,matt-roth
133,301226005,8460,matt-roth
134,310102005,8460,matt-roth
135,310911030,8460,matt-roth
136,310918020,8460,matt-roth
137,311002030,8460,matt-roth
138,311009030,8460,matt-roth
139,311016023,8460,matt-roth
140,311024030,8460,matt-roth
141,311030034,8460,matt-roth
142,311113011,8460,matt-roth
143,311120005,8460,matt-roth
144,290913011,8313,ryan-lilja
145,290921015,8313,ryan-lilja
146,290927022,8313,ryan-lilja
147,291004011,8313,ryan-lilja
148,291011010,8313,ryan-lilja
149,291025014,8313,ryan-lilja
150,291101011,8313,ryan-lilja
151,291108011,8313,ryan-lilja
152,291115011,8313,ryan-lilja
153,291122033,8313,ryan-lilja
154,291129034,8313,ryan-lilja
155,291206011,8313,ryan-lilja
156,291213011,8313,ryan-lilja
157,291217030,8313,ryan-lilja
158,291227011,8313,ryan-lilja
159,300103002,8313,ryan-lilja
160,300116011,8313,ryan-lilja
161,300124011,8313,ryan-lilja
162,300207011,8313,ryan-lilja
163,300913012,8313,ryan-lilja
164,300919005,8313,ryan-lilja
165,300926012,8313,ryan-lilja
166,301010011,8313,ryan-lilja
167,301017034,8313,ryan-lilja
168,301024012,8313,ryan-lilja
169,301107013,8313,ryan-lilja
170,301114007,8313,ryan-lilja
171,301121012,8313,ryan-lilja
172,301128026,8313,ryan-lilja
173,301205012,8313,ryan-lilja
174,301212024,8313,ryan-lilja
175,301219014,8313,ryan-lilja
176,301226012,8313,ryan-lilja
177,310102012,8313,ryan-lilja
178,310109012,8313,ryan-lilja
179,310911012,8313,ryan-lilja
180,310918008,8313,ryan-lilja
181,310925024,8313,ryan-lilja
182,311002012,8313,ryan-lilja
183,311009011,8313,ryan-lilja
184,311023013,8313,ryan-lilja
185,311031012,8313,ryan-lilja
186,311106012,8313,ryan-lilja
187,311113012,8313,ryan-lilja
188,311121017,8313,ryan-lilja
189,311204003,8313,ryan-lilja
190,311211020,8313,ryan-lilja
191,311218012,8313,ryan-lilja
192,311224012,8313,ryan-lilja
193,320101007,8313,ryan-lilja
194,320909012,8313,ryan-lilja
195,320916002,8313,ryan-lilja
196,320923018,8313,ryan-lilja
197,320930012,8313,ryan-lilja
198,321007012,8313,ryan-lilja
199,321014027,8313,ryan-lilja
200,321028012,8313,ryan-lilja
201,321101024,8313,ryan-lilja
202,321112023,8313,ryan-lilja
203,321125012,8313,ryan-lilja
204,321202012,8313,ryan-lilja
205,321209005,8313,ryan-lilja
206,321216013,8313,ryan-lilja
207,321223012,8313,ryan-lilja
208,321230007,8313,ryan-lilja
209,290913029,139,john-kasay
210,290920001,139,john-kasay
211,290928006,139,john-kasay
212,291011029,139,john-kasay
213,291018027,139,john-kasay
214,291025029,139,john-kasay
215,291101022,139,john-kasay
216,291108018,139,john-kasay
217,291115029,139,john-kasay
218,291119029,139,john-kasay
219,291129020,139,john-kasay
220,291206029,139,john-kasay
221,291213017,139,john-kasay
222,291220029,139,john-kasay
223,291227019,139,john-kasay
224,300103029,139,john-kasay
225,300912019,139,john-kasay
226,300919029,139,john-kasay
227,300926029,139,john-kasay
228,301003018,139,john-kasay
229,301010029,139,john-kasay
230,301024029,139,john-kasay
231,301031014,139,john-kasay
232,301107029,139,john-kasay
233,301114027,139,john-kasay
234,301121029,139,john-kasay
235,301128005,139,john-kasay
236,301205026,139,john-kasay
237,301212029,139,john-kasay
238,301219029,139,john-kasay
239,301223023,139,john-kasay
240,310102001,139,john-kasay
241,310908009,139,john-kasay
242,310918018,139,john-kasay
243,310925018,139,john-kasay
244,311002030,139,john-kasay
245,311009029,139,john-kasay
246,311016027,139,john-kasay
247,311023018,139,john-kasay
248,311030014,139,john-kasay
249,311106018,139,john-kasay
250,311113001,139,john-kasay
251,311128018,139,john-kasay
252,311204018,139,john-kasay
253,311211010,139,john-kasay
254,311218016,139,john-kasay
255,311226018,139,john-kasay
256,320101018,139,john-kasay
257,320107018,139,john-kasay
258,320114025,139,john-kasay
259,330908029,16528,benson-mayowa
260,330915026,16528,benson-mayowa
261,330922018,16530,khiry-robinson
262,330915013,16531,ryan-robinson
263,310912007,169,stefen-wisniewski
264,310918002,169,stefen-wisniewski
265,310925013,169,stefen-wisniewski
266,311002013,169,stefen-wisniewski
267,311009034,169,stefen-wisniewski
268,311016013,169,stefen-wisniewski
269,311023013,169,stefen-wisniewski
270,311106013,169,stefen-wisniewski
271,311110024,169,stefen-wisniewski
272,311120016,169,stefen-wisniewski
273,311127013,169,stefen-wisniewski
274,311204015,169,stefen-wisniewski
275,311211009,169,stefen-wisniewski
276,311218013,169,stefen-wisniewski
277,311224012,169,stefen-wisniewski
278,320101013,169,stefen-wisniewski
279,320916015,169,stefen-wisniewski
280,320923013,169,stefen-wisniewski
281,320930007,169,stefen-wisniewski
282,321014001,169,stefen-wisniewski
283,321021013,169,stefen-wisniewski
284,321028012,169,stefen-wisniewski
285,321104013,169,stefen-wisniewski
286,321111033,169,stefen-wisniewski
287,321118013,169,stefen-wisniewski
288,321125004,169,stefen-wisniewski
289,321202013,169,stefen-wisniewski
290,321206013,169,stefen-wisniewski
291,321216013,169,stefen-wisniewski
292,321223029,169,stefen-wisniewski
293,321230024,169,stefen-wisniewski
294,330908011,169,stefen-wisniewski
295,330915013,169,stefen-wisniewski
296,290913018,8362,don-muhlbach
297,290920008,8362,don-muhlbach
298,290927008,8362,don-muhlbach
299,291004003,8362,don-muhlbach
300,291011008,8362,don-muhlbach
301,291018009,8362,don-muhlbach
302,291101008,8362,don-muhlbach
303,291108026,8362,don-muhlbach
304,291115016,8362,don-muhlbach
305,291122008,8362,don-muhlbach
306,291126008,8362,don-muhlbach
307,291206004,8362,don-muhlbach
308,291213033,8362,don-muhlbach
309,291227025,8362,don-muhlbach
310,300103008,8362,don-muhlbach
311,300912003,8362,don-muhlbach
312,300919008,8362,don-muhlbach
313,300926016,8362,don-muhlbach
314,301003009,8362,don-muhlbach
315,301010008,8362,don-muhlbach
316,301017019,8362,don-muhlbach
317,301031008,8362,don-muhlbach
318,301107008,8362,don-muhlbach
319,301114002,8362,don-muhlbach
320,301121006,8362,don-muhlbach
321,301125008,8362,don-muhlbach
322,301205008,8362,don-muhlbach
