count,team,plyr_id,name,position
1,buf,13266,alex-carrington,LDE
2,buf,12660,jarron-gilbert,LDE
3,buf,13992,marcell-dareus,NT
4,buf,13638,jay-ross,NT
5,buf,9720,kyle-williams,RDE
6,buf,10477,alan-branch,RDE
7,buf,9608,manny-lawson,LOLB
8,buf,15344,marcus-dowtin,LOLB
9,buf,15819,kiko-alonso,LILB
10,buf,13422,arthur-moats,LILB
11,buf,15075,nigel-bradham,RILB
12,buf,4513,bryan-scott,RILB
13,buf,9587,mario-williams,ROLB
14,buf,13245,jerry-hughes,ROLB
15,buf,14942,stephon-gilmore,CB
16,buf,15008,ron-brooks,CB
17,buf,14045,aaron-williams,SS
18,buf,15956,jonathan-meeks,SS
19,buf,12613,jairus-byrd,FS
20,buf,14143,da'norris-searcy,FS
21,buf,11245,leodis-mckelvin,CB
22,buf,14071,justin-rogers,CB
23,nyj,13985,muhammad-wilkerson,LDE
24,nyj,15704,tevita-finau,LDE
25,nyj,14057,kenrick-ellis,NT
26,nyj,15380,damon-harrison,NT
27,nyj,15811,sheldon-richardson,RDE
28,nyj,4653,antonio-garay,RDE
29,nyj,14934,quinton-coples,LOLB
30,nyj,10577,antwan-barnes,LOLB
31,nyj,14958,demario-davis,LILB
32,nyj,13165,josh-mauga,LILB
33,nyj,10491,david-harris,RILB
34,nyj,14471,nick-bellore,RILB
35,nyj,4476,calvin-pace,ROLB
36,nyj,12105,garrett-mcintyre,ROLB
37,nyj,9605,antonio-cromartie,CB
38,nyj,14510,darrin-walls,CB
39,nyj,9732,dawan-landry,SS
40,nyj,15113,josh-bush,SS
41,nyj,15061,antonio-allen,FS
42,nyj,14043,jaiquawn-jarrett,FS
43,nyj,15804,dee-milliner,CB
44,nyj,13237,kyle-wilson,CB
45,kc,12435,tyson-jackson,LDE
46,kc,14020,allen-bailey,LDE
47,kc,14939,dontari-poe,NT
48,kc,10763,mike-devito,RDE
49,kc,11792,anthony-toribio,RDE
50,kc,14048,justin-houston,LOLB
51,kc,13779,frank-zombo,LOLB
52,kc,10883,akeem-jordan,LILB
53,kc,15982,nico-johnson,LILB
54,kc,8430,derrick-johnson,RILB
55,kc,9606,tamba-hali,ROLB
56,kc,11269,brandon-flowers,CB
57,kc,13252,eric-berry,SS
58,kc,11351,quintin-demps,SS
59,kc,13404,kendrick-lewis,FS
60,kc,11910,husain-abdullah,FS
61,kc,12430,sean-smith,CB
62,kc,5535,dunta-robinson,CB
63,sd,14953,kendall-reyes,LDE
64,sd,12752,jarius-wynn,LDE
65,sd,13470,cam-thomas,NT
66,sd,16067,kwame-geathers,NT
67,sd,13989,corey-liuget,RDE
68,sd,14348,damik-scafe,RDE
69,sd,4567,jarret-johnson,LOLB
70,sd,12434,larry-english,LOLB
71,sd,13265,donald-butler,LILB
72,sd,14141,andrew-gachkar,LILB
73,sd,15867,manti-te'o,RILB
74,sd,14325,bront-bird,RILB
75,sd,3539,dwight-freeney,ROLB
76,sd,16000,tourek-williams,ROLB
77,sd,14010,shareece-wright,CB
78,sd,14011,johnny-patrick,CB
79,sd,14018,marcus-gilchrist,SS
80,sd,13465,darrell-stuckey,SS
81,sd,10481,eric-weddle,FS
82,sd,15574,sean-cattouse,FS
83,sd,12646,derek-cox,CB
84,sd,15883,steve-williams,CB
85,bal,8546,chris-canty,LDE
86,bal,8435,marcus-spears,LDE
87,bal,9598,haloti-ngata,NT
88,bal,13267,terrence-cody,NT
89,bal,13394,arthur-jones,RDE
90,bal,15875,brandon-williams,RDE
91,bal,4468,terrell-suggs,LOLB
92,bal,14202,pernell-mcphee,LOLB
93,bal,11841,jameel-mcclain,LILB
94,bal,14519,josh-bynes,LILB
95,bal,5564,daryl-smith,RILB
96,bal,13851,albert-mcclellan,RILB
97,bal,9712,elvis-dumervil,ROLB
98,bal,14970,courtney-upshaw,ROLB
99,bal,12747,lardarius-webb,CB
100,bal,13963,jimmy-smith,CB
101,bal,10749,james-ihedigbo,SS
102,bal,15789,matt-elam,SS
103,bal,9593,michael-huff,FS
104,bal,15623,omar-brown,FS
105,bal,10611,corey-graham,CB
106,bal,14113,chykie-brown,CB
107,cle,11424,ahtyba-rubin,LDE
108,cle,14954,john-hughes,LDE
109,cle,13968,phillip-taylor,NT
110,cle,15508,ishmaa'ily-kitchen,NT
111,cle,12949,desmond-bryant,RDE
112,cle,15021,billy-winn,RDE
113,cle,12437,paul-kruger,LOLB
114,cle,11286,quentin-groves,LOLB
115,cle,9620,d'qwell-jackson,LILB
116,cle,15264,l.j.-fort,LILB
117,cle,14860,craig-robertson,RILB
118,cle,15014,tank-carder,RILB
119,cle,14036,jabaal-sheard,ROLB
120,cle,15805,barkevious-mingo,ROLB
121,cle,13249,joe-haden,CB
122,cle,15854,leon-mcfadden,CB
123,cle,13304,t.j.-ward,SS
124,cle,15359,johnson-bademosi,SS
125,cle,15235,tashaun-gipson,FS
126,cle,15938,jamoris-slaughter,FS
127,cle,14139,buster-skrine,CB
128,cle,12713,chris-owens,CB
129,pit,12442,ziggy-hood,LDE
130,pit,13493,al-woods,LDE
131,pit,12895,steve-mclendon,NT
132,pit,15639,hebron-fangupo,NT
133,pit,3743,brett-keisel,RDE
134,pit,13977,cameron-heyward,RDE
135,pit,10490,lamarr-woodley,LOLB
136,pit,14174,chris-carter,LOLB
137,pit,3656,larry-foote,LILB
138,pit,15934,vince-williams,LILB
139,pit,10459,lawrence-timmons,RILB
140,pit,13670,kion-wilson,RILB
141,pit,13306,jason-worilds,ROLB
142,pit,15799,jarvis-jones,ROLB
143,pit,4583,ike-taylor,CB
144,pit,10613,william-gay,CB
145,pit,4474,troy-polamalu,SS
146,pit,15992,shamarko-thomas,SS
147,pit,4301,ryan-clark,FS
148,pit,15213,robert-golden,FS
149,pit,14109,cortez-allen,CB
150,pit,14033,curtis-brown,CB
151,hou,13979,j.j.-watt,LDE
152,hou,15019,jared-crick,LDE
153,hou,13288,earl-mitchell,NT
154,hou,15955,chris-jones,NT
155,hou,13033,tim-jamison,RDE
156,hou,14014,terrell-mcclain,RDE
157,hou,13997,brooks-reed,LOLB
158,hou,16114,justin-tuggle,LOLB
159,hou,12453,brian-cushing,LILB
160,hou,9737,tim-dobbins,LILB
161,hou,11434,joe-mays,RILB
162,hou,13453,darryl-sharpton,RILB
163,hou,14936,whitney-mercilus,ROLB
164,hou,16556,willie-jefferson,ROLB
165,hou,13254,kareem-jackson,CB
166,hou,12690,brice-mccain,CB
167,hou,9628,danieal-manning,SS
168,hou,15612,eddie-pleasant,SS
169,hou,14122,shiloh-keo,FS
170,hou,15865,d.j.-swearinger,FS
171,hou,9610,johnathan-joseph,CB
172,hou,10587,brandon-harris,CB
173,ind,4524,cory-redding,LDE
174,ind,14185,lawrence-guy,LDE
175,ind,4604,aubrayo-franklin,NT
176,ind,15039,josh-chapman,NT
177,ind,12443,ricky-jean-francois,RDE
178,ind,12446,fili-moala,RDE
179,ind,11401,erik-walden,LOLB
180,ind,13258,pat-angerer,LILB
181,ind,13342,kavell-conner,LILB
182,ind,11533,jerrell-freeman,RILB
183,ind,14257,mario-harvey,RILB
184,ind,4596,robert-mathis,ROLB
185,ind,15815,bjoern-werner,ROLB
186,ind,12738,greg-toler,CB
187,ind,12423,darius-butler,CB
188,ind,9793,antoine-bethea,SS
189,ind,14415,joe-lefeged,SS
190,ind,10451,laron-landry,FS
191,ind,13541,sergio-brown,FS
192,ind,12424,vontae-davis,CB
193,ind,13797,cassius-vaughn,CB
194,phi,14310,cedric-thornton,LDE
195,phi,13366,clifton-geathers,LDE
196,phi,5629,isaac-sopoaga,NT
197,phi,15850,bennie-logan,NT
198,phi,14941,fletcher-cox,RDE
199,phi,14959,vinny-curry,RDE
200,phi,12449,connor-barwin,LOLB
201,phi,13239,brandon-graham,LOLB
202,phi,9619,demeco-ryans,LILB
203,phi,14181,casey-matthews,LILB
204,phi,14978,mychal-kendricks,RILB
205,phi,13337,jamar-chaney,RILB
206,phi,8560,trent-cole,ROLB
207,phi,13415,chris-mccoy,ROLB
208,phi,12652,bradley-fletcher,CB
209,phi,15057,brandon-boykin,CB
210,phi,13257,nate-allen,SS
211,phi,14609,david-sims,SS
212,phi,12527,patrick-chung,FS
213,phi,13340,kurt-coleman,FS
214,phi,11463,cary-williams,CB
215,phi,14031,curtis-marsh,CB
216,wsh,9782,kedric-golston,LDE
217,wsh,12760,chris-baker,LDE
218,wsh,9710,barry-cofield,NT
219,wsh,14067,chris-neild,NT
220,wsh,10361,stephen-bowen,RDE
221,wsh,11266,phillip-merling,RDE
222,wsh,13973,ryan-kerrigan,LOLB
223,wsh,9649,darryl-tapp,LOLB
224,wsh,1680,london-fletcher,LILB
225,wsh,4487,nick-barnett,LILB
226,wsh,13443,perry-riley,RILB
227,wsh,11360,bryan-kehl,RILB
228,wsh,12439,brian-orakpo,ROLB
229,wsh,15967,brandon-jenkins,ROLB
230,wsh,5533,deangelo-hall,CB
231,wsh,12633,e.j.-biggers,CB
232,wsh,10468,brandon-meriweather,SS
233,wsh,9759,reed-doughty,SS
234,wsh,15912,bacarri-rambo,FS
235,wsh,13439,jordan-pugh,FS
236,wsh,10499,josh-wilson,CB
237,wsh,15820,david-amerson,CB
238,ari,11284,calais-campbell,LDE
239,ari,13018,ronald-talley,LDE
240,ari,13235,dan-williams,NT
241,ari,5589,darnell-dockett,RDE
242,ari,9677,frostee-rucker,RDE
243,ari,14152,sam-acho,LOLB
244,ari,15976,alex-okafor,LOLB
245,ari,12451,jasper-brinkley,LILB
246,ari,15856,kevin-minter,LILB
247,ari,5558,karlos-dansby,RILB
248,ari,9424,lorenzo-alexander,ROLB
249,ari,12440,matt-shaughnessy,ROLB
250,ari,13980,patrick-peterson,CB
251,ari,13259,javier-arenas,CB
252,ari,4671,yeremiah-bell,SS
