count,team,plyr_id,name,position
695,buf,15965,dustin-hopkins,PK
696,buf,15234,shawn-powell,P
697,buf,15234,shawn-powell,H
698,buf,11245,leodis-mckelvin,PR
699,buf,9689,brad-smith,KR
700,buf,13078,garrison-sanborn,LS
701,mia,15918,caleb-sturgis,PK
702,mia,10668,brandon-fields,P
703,mia,10668,brandon-fields,H
704,mia,12524,marcus-thigpen,PR
705,mia,12524,marcus-thigpen,KR
706,mia,9287,john-denney,LS
707,ne,9704,stephen-gostkowski,PK
708,ne,13421,zoltan-mesko,P
709,ne,13421,zoltan-mesko,H
710,ne,12649,julian-edelman,PR
711,ne,9703,leon-washington,KR
712,ne,14581,danny-aiken,LS
713,nyj,10621,nick-folk,PK
714,nyj,13408,robert-malone,P
715,nyj,13408,robert-malone,H
716,nyj,14151,jeremy-kerley,PR
717,nyj,14209,clyde-gates,KR
718,nyj,12605,tanner-purdum,LS
719,den,11122,matt-prater,PK
720,den,12773,britton-colquitt,P
721,den,12773,britton-colquitt,H
722,den,13386,trindon-holliday,PR
723,den,13386,trindon-holliday,KR
724,den,15241,aaron-brewer,LS
725,kc,12731,ryan-succop,PK
726,kc,8513,dustin-colquitt,P
727,kc,8513,dustin-colquitt,H
728,kc,13207,dexter-mccluster,PR
729,kc,13207,dexter-mccluster,KR
730,kc,10183,thomas-gafford,LS
731,oak,2148,sebastian-janikowski,PK
732,oak,15389,marquette-king,P
733,oak,15389,marquette-king,H
734,oak,13308,phillip-adams,PR
735,oak,13363,jacoby-ford,KR
736,oak,9276,jon-condo,LS
737,sd,9329,nick-novak,PK
738,sd,4607,mike-scifres,P
739,sd,4607,mike-scifres,H
740,sd,11276,eddie-royal,PR
741,sd,13568,richard-goodman,KR
742,sd,13777,mike-windt,LS
743,bal,15683,justin-tucker,PK
744,bal,9789,sam-koch,P
745,bal,9789,sam-koch,H
746,bal,10517,jacoby-jones,PR
747,bal,10517,jacoby-jones,KR
748,bal,13848,morgan-cox,LS
749,cin,8461,mike-nugent,PK
750,cin,12669,kevin-huber,P
751,cin,12669,kevin-huber,H
752,cin,8421,adam-jones,PR
753,cin,12597,brandon-tate,KR
754,cin,10686,clark-harris,LS
755,cle,3504,shayne-graham,PK
756,cle,14342,spencer-lanning,P
757,cle,14342,spencer-lanning,H
758,cle,15062,travis-benjamin,PR
759,cle,15359,johnson-bademosi,KR
760,cle,14465,christian-yount,LS
761,pit,9361,shaun-suisham,PK
762,pit,15209,drew-butler,P
763,pit,15209,drew-butler,H
764,pit,13934,antonio-brown,PR
765,pit,12730,larod-stephens-howling,KR
766,pit,9306,greg-warren,LS
767,hou,15091,randy-bullock,PK
768,hou,2273,shane-lechler,P
769,hou,2273,shane-lechler,H
770,hou,14916,keshawn-martin,PR
771,hou,14916,keshawn-martin,KR
772,hou,13729,jon-weeks,LS
773,ind,1097,adam-vinatieri,PK
774,ind,12689,pat-mcafee,P
775,ind,12689,pat-mcafee,H
776,ind,14924,t.y.-hilton,PR
777,ind,16024,kerwynn-williams,KR
778,ind,13186,matt-overton,LS
779,jac,5662,josh-scobee,PK
780,jac,14950,bryan-anger,P
781,jac,14950,bryan-anger,H
782,jac,12594,jordan-shipley,PR
783,jac,14186,jordan-todman,KR
784,jac,16359,carson-tinker,LS
785,ten,9235,rob-bironas,PK
786,ten,11555,brett-kern,P
787,ten,11555,brett-kern,H
788,ten,13409,marc-mariani,PR
789,ten,13409,marc-mariani,KR
790,ten,15355,beau-brinkley,LS
791,dal,14322,dan-bailey,PK
792,dal,14723,chris-jones,P
793,dal,14723,chris-jones,H
794,dal,14100,dwayne-harris,PR
795,dal,14100,dwayne-harris,KR
796,dal,9349,l.p.-ladouceur,LS
797,nyg,4680,josh-brown,PK
798,nyg,10127,steve-weatherford,P
799,nyg,10127,steve-weatherford,H
800,nyg,14911,rueben-randle,PR
801,nyg,14887,david-wilson,KR
802,nyg,10560,zak-deossie,LS
803,phi,14123,alex-henery,PK
804,phi,5749,donnie-jones,P
805,phi,5749,donnie-jones,H
806,phi,11283,desean-jackson,PR
807,phi,15624,damaris-johnson,KR
808,phi,4902,jon-dorenbos,LS
809,wsh,14816,kai-forbath,PK
810,wsh,10441,sav-rocca,P
811,wsh,10441,sav-rocca,H
812,wsh,15966,chris-thompson,PR
813,wsh,15966,chris-thompson,KR
814,wsh,12904,nick-sundberg,LS
815,ari,2548,jay-feely,PK
816,ari,3640,dave-zastudil,P
817,ari,3640,dave-zastudil,H
818,ari,13980,patrick-peterson,PR
819,ari,13259,javier-arenas,KR
820,ari,2482,mike-leach,LS
821,stl,14993,greg-zuerlein,PK
822,stl,15153,johnny-hekker,P
823,stl,15153,johnny-hekker,H
824,stl,14035,austin-pettis,PR
825,stl,15078,chris-givens,KR
826,stl,14676,jake-mcquaide,LS
827,sf,1440,phil-dawson,PK
828,sf,5713,andy-lee,P
829,sf,5713,andy-lee,H
830,sf,14890,lamichael-james,PR
831,sf,14890,lamichael-james,KR
832,sf,2361,brian-jennings,LS
833,sea,11923,steven-hauschka,PK
834,sea,10238,jon-ryan,P
835,sea,10238,jon-ryan,H
836,sea,13217,golden-tate,PR
837,sea,9701,will-blackmon,KR
838,sea,13573,clint-gresham,LS
839,chi,9354,robbie-gould,PK
840,chi,10545,adam-podlesh,P
841,chi,10545,adam-podlesh,H
842,chi,9643,devin-hester,PR
843,chi,9643,devin-hester,KR
844,chi,1577,patrick-mannelly,LS
845,det,1716,david-akers,PK
846,det,15928,sam-martin,P
847,det,15928,sam-martin,H
848,det,10327,micheal-spurlock,PR
849,det,10327,micheal-spurlock,KR
850,det,8362,don-muhlbach,LS
851,gb,10636,mason-crosby,PK
852,gb,12998,tim-masthay,P
853,gb,12998,tim-masthay,H
854,gb,14500,jeremy-ross,PR
855,gb,14500,jeremy-ross,KR
856,gb,11229,brett-goode,LS
857,min,15058,blair-walsh,PK
858,min,15926,jeff-locke,P
859,min,15926,jeff-locke,H
860,min,13843,marcus-sherels,PR
861,min,15807,cordarrelle-patterson,KR
862,min,6044,cullen-loeffler,LS
863,atl,4333,matt-bryant,PK
864,atl,14073,matt-bosher,P
865,atl,14073,matt-bosher,H
866,atl,13365,dominique-franks,PR
867,atl,14193,jacquizz-rodgers,KR
868,atl,15151,josh-harris,LS
869,car,12460,graham-gano,PK
870,car,15051,brad-nortman,P
