,plyr_id,name,position,is_starter
0,11458,steve-johnson,WR,1
1,15880,robert-woods,WR,0
2,10572,scott-chandler,TE,1
3,14215,lee-smith,TE,0
4,14971,cordy-glenn,LT,1
5,12636,colin-brown,LG,1
6,12627,eric-wood,C,1
7,12742,kraig-urbik,RG,1
8,9399,erik-pears,RT,1
9,14920,t.j.-graham,WR,1
10,15839,marquise-goodwin,WR,0
11,15803,ej-manuel,QB,1
12,16237,jeff-tuel,QB,0
13,12733,frank-summers,FB,1
14,13203,c.j.-spiller,RB,1
15,10195,fred-jackson,RB,0
16,12601,mike-wallace,WR,1
17,15102,rishard-matthews,WR,0
18,14145,charles-clay,TE,1
19,14903,michael-egnew,TE,0
20,14975,jonathan-martin,LT,1
21,8495,richie-incognito,LG,1
22,13974,mike-pouncey,C,1
23,13278,john-jerry,RG,1
24,5954,tyson-clabo,RT,1
25,12568,brian-hartline,WR,1
26,12567,brandon-gibson,WR,0
27,14876,ryan-tannehill,QB,1
28,11128,matt-moore,QB,0
29,13945,tyler-clutts,FB,1
30,14886,lamar-miller,RB,1
31,14056,daniel-thomas,RB,0
32,11674,danny-amendola,WR,1
33,11387,matthew-slater,WR,0
34,13229,rob-gronkowski,TE,1
35,13387,michael-hoomanawanui,TE,0
36,13964,nate-solder,LT,1
37,8446,logan-mankins,LG,1
38,11786,ryan-wendell,C,1
39,9298,dan-connolly,RG,1
40,12626,sebastian-vollmer,RT,1
41,12649,julian-edelman,WR,1
42,15834,aaron-dobson,WR,0
43,2330,tom-brady,QB,1
44,14037,ryan-mallett,QB,0
45,13940,james-develin,FB,1
46,14028,stevan-ridley,RB,1
47,13213,legarrette-blount,RB,0
48,14910,stephen-hill,WR,1
49,14209,clyde-gates,WR,0
50,13555,jeff-cumberland,TE,1
51,5531,kellen-winslow,TE,0
52,9590,d'brickashaw-ferguson,LT,1
53,13273,vladimir-ducasse,LG,1
54,9615,nick-mangold,C,1
55,9717,willie-colon,RG,1
56,13585,austin-howard,RT,1
57,9611,santonio-holmes,WR,1
58,14151,jeremy-kerley,WR,0
59,15864,geno-smith,QB,1
60,15407,matt-simms,QB,0
61,15973,tommy-bohanon,FB,1
62,14129,bilal-powell,RB,1
63,13587,chris-ivory,RB,0
64,13216,demaryius-thomas,WR,1
65,11331,andre-caldwell,WR,0
66,14204,julius-thomas,TE,1
67,8612,joel-dreessen,TE,0
68,11246,ryan-clady,LT,1
69,13261,zane-beadles,LG,1
70,10561,manny-ramirez,C,1
71,12744,louis-vasquez,RG,1
72,13996,orlando-franklin,RT,1
73,5941,wes-welker,WR,1
74,13271,eric-decker,WR,0
75,1428,peyton-manning,QB,1
76,14879,brock-osweiler,QB,0
