plyr_id,tot_pts,week
1428,46,1
14001,30,1
13553,29,1
5526,28,1
10452,28,1
13216,28,1
13983,28,1
4512,26,1
2549,25,1
9588,25,1
8439,24,1
12514,24,1
12537,24,1
14874,24,1
5615,23,1
14204,23,1
60012,23,1
5529,22,1
9592,21,1
60006,21,1
2580,20,1
5528,20,1
12483,20,1
13536,20,1
14021,20,1
4527,19,1
11237,19,1
11270,19,1
12649,19,1
13197,19,1
14851,19,1
14875,19,1
9684,18,1
11252,18,1
4459,17,1
12568,17,1
60015,17,1
5209,16,1
5941,16,1
8416,16,1
9597,16,1
9705,16,1
11283,16,1
14053,16,1
14189,16,1
15803,16,1
2330,15,1
2578,15,1
8475,15,1
11278,15,1
11307,15,1
14012,15,1
14017,15,1
60010,15,1
4461,14,1
11276,14,1
11280,14,1
14881,14,1
14993,14,1
15864,14,1
5531,13,1
14322,13,1
15918,13,1
8479,12,1
9704,12,1
9838,12,1
10621,12,1
11289,12,1
11543,12,1
12705,12,1
13994,12,1
14876,12,1
16581,12,1
60020,12,1
1716,11,1
2622,11,1
5549,11,1
9235,11,1
10605,11,1
11238,11,1
11325,11,1
12586,11,1
13204,11,1
13489,11,1
13982,11,1
14005,11,1
15848,11,1
60002,11,1
60008,11,1
60034,11,1
8544,10,1
10195,10,1
11295,10,1
11674,10,1
12473,10,1
13232,10,1
14153,10,1
14885,10,1
14911,10,1
15428,10,1
60021,10,1
60026,10,1
1231,9,1
1440,9,1
5633,9,1
11318,9,1
11458,9,1
13226,9,1
14032,9,1
14221,9,1
14878,9,1
15111,9,1
15683,9,1
60007,9,1
60022,9,1
60027,9,1
60028,9,1
4482,8,1
9354,8,1
11197,8,1
11331,8,1
11754,8,1
12497,8,1
13371,8,1
14123,8,1
14901,8,1
14908,8,1
15009,8,1
15058,8,1
16016,8,1
16330,8,1
60005,8,1
4529,7,1
4680,7,1
5536,7,1
6301,7,1
9613,7,1
10147,7,1
11122,7,1
11258,7,1
11267,7,1
11923,7,1
12567,7,1
13934,7,1
14027,7,1
14056,7,1
14087,7,1
14884,7,1
15091,7,1
15391,7,1
15880,7,1
60003,7,1
60014,7,1
60018,7,1
11257,6,1
11439,6,1
13966,6,1
14898,6,1
15029,6,1
15795,6,1
60013,6,1
60017,6,1
60023,6,1
60029,6,1
60030,6,1
2489,5,1
2548,5,1
2564,5,1
4333,5,1
10475,5,1
10713,5,1
11408,5,1
12516,5,1
13210,5,1
13217,5,1
13295,5,1
13969,5,1
14129,5,1
14145,5,1
60011,5,1
2148,4,1
4245,4,1
5362,4,1
6016,4,1
8417,4,1
9307,4,1
9329,4,1
9646,4,1
9761,4,1
10456,4,1
10482,4,1
10636,4,1
11678,4,1
12731,4,1
13207,4,1
13698,4,1
14135,4,1
14151,4,1
14184,4,1
14912,4,1
15062,4,1
15786,4,1
15788,4,1
16381,4,1
60025,4,1
1097,3,1
1858,3,1
5557,3,1
8461,3,1
9638,3,1
10447,3,1
10467,3,1
10488,3,1
10572,3,1
11688,3,1
12570,3,1
13203,3,1
13228,3,1
13271,3,1
13488,3,1
14433,3,1
14895,3,1
14910,3,1
15351,3,1
15474,3,1
15860,3,1
15878,3,1
9400,2,1
10517,2,1
10693,2,1
11282,2,1
11467,2,1
12730,2,1
13215,2,1
13357,2,1
13642,2,1
14007,2,1
14024,2,1
14028,2,1
14054,2,1
14083,2,1
14159,2,1
14186,2,1
14816,2,1
14891,2,1
14894,2,1
14924,2,1
15078,2,1
15092,2,1
15823,2,1
15826,2,1
15853,2,1
15923,2,1
15973,2,1
60004,2,1
8442,1,1
9361,1,1
9611,1,1
10453,1,1
10544,1,1
10687,1,1
11291,1,1
11658,1,1
11788,1,1
12460,1,1
12500,1,1
12506,1,1
12517,1,1
12553,1,1
12556,1,1
12601,1,1
12850,1,1
13213,1,1
13219,1,1
13225,1,1
13272,1,1
13587,1,1
13981,1,1
13987,1,1
14035,1,1
14095,1,1
14100,1,1
14192,1,1
14209,1,1
14601,1,1
14909,1,1
14914,1,1
15050,1,1
15072,1,1
15448,1,1
15807,1,1
15832,1,1
15835,1,1
15893,1,1
16022,1,1
16172,1,1
60001,1,1
60019,1,1
1575,0,1
2139,0,1
8439,35,2
2549,33,2
10456,30,2
5529,29,2
11276,27,2
13197,26,2
11283,25,2
13982,24,2
10447,23,2
13232,23,2
11237,22,2
12516,22,2
13214,22,2
14875,22,2
8416,21,2
60026,21,2
1428,20,2
11439,20,2
13215,20,2
5615,19,2
11295,19,2
9329,18,2
11270,18,2
14053,18,2
9597,17,2
9705,17,2
11458,17,2
12483,17,2
12601,17,2
14874,17,2
15795,17,2
15826,17,2
60016,17,2
12514,16,2
13994,16,2
14012,16,2
14145,16,2
15786,16,2
2548,15,2
10522,15,2
11307,15,2
12497,15,2
60017,15,2
10475,14,2
11257,14,2
11278,14,2
13969,14,2
14322,14,2
14876,14,2
14885,14,2
15803,14,2
60007,14,2
60027,14,2
2148,13,2
5209,13,2
10693,13,2
11122,13,2
11291,13,2
14035,13,2
2580,12,2
4680,12,2
5536,12,2
10453,12,2
11238,12,2
11252,12,2
11325,12,2
11688,12,2
13203,12,2
13966,12,2
14123,12,2
14129,12,2
14886,12,2
14900,12,2
14924,12,2
15058,12,2
15893,12,2
2330,11,2
4459,11,2
10195,11,2
10467,11,2
10687,11,2
11543,11,2
12460,11,2
13553,11,2
14891,11,2
14909,11,2
15009,11,2
15834,11,2
60003,11,2
60004,11,2
60033,11,2
2564,10,2
5362,10,2
5526,10,2
6016,10,2
14054,10,2
14204,10,2
14851,10,2
14881,10,2
15078,10,2
16581,10,2
60013,10,2
5941,9,2
8461,9,2
11258,9,2
11923,9,2
13210,9,2
13371,9,2
13376,9,2
14087,9,2
14184,9,2
14189,9,2
14878,9,2
60008,9,2
60025,9,2
4245,8,2
9613,8,2
9638,8,2
9684,8,2
10452,8,2
10636,8,2
12586,8,2
13225,8,2
13271,8,2
14032,8,2
15880,8,2
15918,8,2
60002,8,2
60012,8,2
60018,8,2
60034,8,2
1097,7,2
4333,7,2
4461,7,2
8475,7,2
9354,7,2
9761,7,2
11717,7,2
11754,7,2
12649,7,2
12705,7,2
13295,7,2
13536,7,2
14884,7,2
15111,7,2
15807,7,2
15860,7,2
60005,7,2
60006,7,2
5549,6,2
8524,6,2
9235,6,2
9588,6,2
9704,6,2
9838,6,2
12473,6,2
12568,6,2
12588,6,2
13228,6,2
13386,6,2
14005,6,2
14910,6,2
14993,6,2
15329,6,2
15788,6,2
16022,6,2
60010,6,2
60011,6,2
60020,6,2
2622,5,2
5633,5,2
8544,5,2
9307,5,2
9361,5,2
9611,5,2
11788,5,2
12731,5,2
13204,5,2
13216,5,2
13587,5,2
13934,5,2
14001,5,2
14221,5,2
15835,5,2
60001,5,2
60022,5,2
60030,5,2
2578,4,2
4529,4,2
10621,4,2
11280,4,2
11318,4,2
12733,4,2
13983,4,2
14028,4,2
14056,4,2
14209,4,2
14912,4,2
14922,4,2
15391,4,2
16381,4,2
1231,3,2
1440,3,2
1858,3,2
5528,3,2
5662,3,2
9695,3,2
10147,3,2
10713,3,2
11256,3,2
11267,3,2
11331,3,2
11408,3,2
11658,3,2
11678,3,2
12489,3,2
12503,3,2
12549,3,2
13226,3,2
13326,3,2
13357,3,2
13488,3,2
14021,3,2
14024,3,2
14193,3,2
14894,3,2
14916,3,2
15072,3,2
15515,3,2
15707,3,2
15818,3,2
15864,3,2
15923,3,2
8442,2,2
8479,2,2
9592,2,2
9639,2,2
9646,2,2
10482,2,2
12517,2,2
12556,2,2
13981,2,2
14007,2,2
14027,2,2
14083,2,2
14210,2,2
14906,2,2
14908,2,2
14918,2,2
15043,2,2
15062,2,2
15360,2,2
15878,2,2
60015,2,2
60029,2,2
1716,1,2
2489,1,2
4527,1,2
5531,1,2
