count,team,plyr_id,name,position
887,buf,11458,steve-johnson,WR
888,buf,15880,robert-woods,WR
889,buf,10572,scott-chandler,TE
890,buf,14215,lee-smith,TE
891,buf,14971,cordy-glenn,LT
892,buf,12636,colin-brown,LG
893,buf,12627,eric-wood,C
894,buf,12742,kraig-urbik,RG
895,buf,9399,erik-pears,RT
896,buf,14920,t.j.-graham,WR
897,buf,15839,marquise-goodwin,WR
898,buf,15803,ej-manuel,QB
899,buf,12733,frank-summers,FB
900,buf,13203,c.j.-spiller,RB
901,buf,10195,fred-jackson,RB
902,mia,12601,mike-wallace,WR
903,mia,15102,rishard-matthews,WR
904,mia,14145,charles-clay,TE
905,mia,14903,michael-egnew,TE
906,mia,14975,jonathan-martin,LT
907,mia,8495,richie-incognito,LG
908,mia,13974,mike-pouncey,C
909,mia,13278,john-jerry,RG
910,mia,5954,tyson-clabo,RT
911,mia,12568,brian-hartline,WR
912,mia,12567,brandon-gibson,WR
913,mia,14876,ryan-tannehill,QB
914,mia,15000,evan-rodriguez,FB
915,mia,14886,lamar-miller,RB
916,mia,14056,daniel-thomas,RB
917,ne,11674,danny-amendola,WR
918,ne,11387,matthew-slater,WR
919,ne,13229,rob-gronkowski,TE
920,ne,10287,daniel-fells,TE
921,ne,13964,nate-solder,LT
922,ne,8446,logan-mankins,LG
923,ne,11786,ryan-wendell,C
924,ne,9298,dan-connolly,RG
925,ne,12626,sebastian-vollmer,RT
926,ne,12649,julian-edelman,WR
927,ne,15998,josh-boyce,WR
928,ne,2330,tom-brady,QB
929,ne,16386,ben-bartholomew,FB
930,ne,14028,stevan-ridley,RB
931,ne,14017,shane-vereen,RB
932,nyj,14910,stephen-hill,WR
933,nyj,9835,ben-obomanu,WR
934,nyj,13555,jeff-cumberland,TE
935,nyj,5531,kellen-winslow,TE
936,nyj,9590,d'brickashaw-ferguson,LT
937,nyj,13273,vladimir-ducasse,LG
938,nyj,9615,nick-mangold,C
939,nyj,9717,willie-colon,RG
940,nyj,13585,austin-howard,RT
941,nyj,14151,jeremy-kerley,WR
942,nyj,14209,clyde-gates,WR
943,nyj,12482,mark-sanchez,QB
944,nyj,15973,tommy-bohanon,FB
945,nyj,14129,bilal-powell,RB
946,nyj,13587,chris-ivory,RB
947,den,13216,demaryius-thomas,WR
948,den,11331,andre-caldwell,WR
949,den,8612,joel-dreessen,TE
950,den,11373,jacob-tamme,TE
951,den,11246,ryan-clady,LT
952,den,13261,zane-beadles,LG
953,den,10561,manny-ramirez,C
954,den,12744,louis-vasquez,RG
955,den,13996,orlando-franklin,RT
956,den,5941,wes-welker,WR
957,den,13271,eric-decker,WR
958,den,1428,peyton-manning,QB
959,den,11303,jacob-hester,FB
960,den,14895,ronnie-hillman,RB
961,den,15823,montee-ball,RB
962,kc,10467,dwayne-bowe,WR
963,kc,13207,dexter-mccluster,WR
964,kc,9639,anthony-fasano,TE
965,kc,15847,travis-kelce,TE
966,kc,11249,branden-albert,LT
967,kc,14990,jeff-allen,LG
968,kc,14013,rodney-hudson,C
969,kc,13260,jon-asamoah,RG
970,kc,15790,eric-fisher,RT
971,kc,11267,donnie-avery,WR
972,kc,8416,alex-smith,QB
973,kc,14135,anthony-sherman,FB
974,kc,11307,jamaal-charles,RB
975,kc,15832,knile-davis,RB
976,oak,14153,denarius-moore,WR
977,oak,15896,brice-butler,WR
978,oak,14102,david-ausberry,TE
979,oak,13698,jeron-mastrud,TE
980,oak,13302,jared-veldheer,LT
981,oak,15354,lucas-nix,LG
982,oak,169,stefen-wisniewski,C
983,oak,10161,mike-brisiel,RG
984,oak,8466,khalif-barnes,RT
985,oak,15391,rod-streater,WR
986,oak,13363,jacoby-ford,WR
987,oak,11443,matt-flynn,QB
988,oak,11717,marcel-reece,FB
989,oak,11238,darren-mcfadden,RB
990,oak,12503,rashad-jennings,RB
991,sd,6016,malcom-floyd,WR
992,sd,14027,vincent-brown,WR
993,sd,5362,antonio-gates,TE
994,sd,12550,john-phillips,TE
995,sd,11464,king-dunlap,LT
996,sd,11330,chad-rinehart,LG
997,sd,5591,nick-hardwick,C
998,sd,9773,jeromey-clary,RG
999,sd,15792,d.j.-fluker,RT
1000,sd,11276,eddie-royal,WR
1001,sd,15818,keenan-allen,WR
1002,sd,5529,philip-rivers,QB
1003,sd,10580,le'ron-mcclain,FB
1004,sd,13204,ryan-mathews,RB
1005,sd,8417,ronnie-brown,RB
1006,bal,14032,torrey-smith,WR
1007,bal,1858,brandon-stokley,WR
1008,bal,13272,ed-dickson,TE
1009,bal,4482,dallas-clark,TE
1010,bal,3535,bryant-mckinnie,LT
1011,bal,14957,kelechi-osemele,LG
1012,bal,14999,gino-gradkowski,C
1013,bal,10530,marshal-yanda,RG
1014,bal,12621,michael-oher,RT
1015,bal,10517,jacoby-jones,WR
