count,team,plyr_id,name,position
1,buf,11458,steve-johnson,WR
2,buf,15880,robert-woods,WR
3,buf,10572,scott-chandler,TE
4,buf,14215,lee-smith,TE
5,buf,14971,cordy-glenn,LT
6,buf,12636,colin-brown,LG
7,buf,12627,eric-wood,C
8,buf,12742,kraig-urbik,RG
9,buf,9399,erik-pears,RT
10,buf,14920,t.j.-graham,WR
11,buf,15839,marquise-goodwin,WR
12,buf,15803,ej-manuel,QB
13,buf,12733,frank-summers,FB
14,buf,13203,c.j.-spiller,RB
15,buf,10195,fred-jackson,RB
16,mia,12601,mike-wallace,WR
17,mia,15102,rishard-matthews,WR
18,mia,14145,charles-clay,TE
19,mia,14903,michael-egnew,TE
20,mia,14975,jonathan-martin,LT
21,mia,8495,richie-incognito,LG
22,mia,13974,mike-pouncey,C
23,mia,13278,john-jerry,RG
24,mia,5954,tyson-clabo,RT
25,mia,12568,brian-hartline,WR
26,mia,12567,brandon-gibson,WR
27,mia,14876,ryan-tannehill,QB
28,mia,15000,evan-rodriguez,FB
29,mia,14886,lamar-miller,RB
30,mia,14056,daniel-thomas,RB
31,ne,11674,danny-amendola,WR
32,ne,11387,matthew-slater,WR
33,ne,13229,rob-gronkowski,TE
34,ne,10287,daniel-fells,TE
35,ne,13964,nate-solder,LT
36,ne,8446,logan-mankins,LG
37,ne,11786,ryan-wendell,C
38,ne,9298,dan-connolly,RG
39,ne,12626,sebastian-vollmer,RT
40,ne,12649,julian-edelman,WR
41,ne,15998,josh-boyce,WR
42,ne,2330,tom-brady,QB
43,ne,16386,ben-bartholomew,FB
44,ne,14028,stevan-ridley,RB
45,ne,14017,shane-vereen,RB
46,nyj,14910,stephen-hill,WR
47,nyj,9835,ben-obomanu,WR
48,nyj,13555,jeff-cumberland,TE
49,nyj,5531,kellen-winslow,TE
50,nyj,9590,d'brickashaw-ferguson,LT
51,nyj,13273,vladimir-ducasse,LG
52,nyj,9615,nick-mangold,C
53,nyj,9717,willie-colon,RG
54,nyj,13585,austin-howard,RT
55,nyj,14151,jeremy-kerley,WR
56,nyj,14209,clyde-gates,WR
57,nyj,12482,mark-sanchez,QB
58,nyj,15973,tommy-bohanon,FB
59,nyj,14129,bilal-powell,RB
60,nyj,13587,chris-ivory,RB
61,den,13216,demaryius-thomas,WR
62,den,11331,andre-caldwell,WR
63,den,8612,joel-dreessen,TE
64,den,11373,jacob-tamme,TE
65,den,11246,ryan-clady,LT
66,den,13261,zane-beadles,LG
67,den,10561,manny-ramirez,C
68,den,12744,louis-vasquez,RG
69,den,13996,orlando-franklin,RT
70,den,5941,wes-welker,WR
71,den,13271,eric-decker,WR
72,den,1428,peyton-manning,QB
73,den,11303,jacob-hester,FB
74,den,14895,ronnie-hillman,RB
75,den,15823,montee-ball,RB
